T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1518075383,6.402316000000001,0,5,0.3,0,0.0064166480000000005,2018,01,08,07,36,23,39,07,1518073895,1518110842
1518075384,6.392894999999999,0,5,0.3,0,0.006423041,2018,01,08,07,36,24,39,07,1518073895,1518110842
1518075385,6.434261,0,5,0.3,0,0.006429475,2018,01,08,07,36,25,39,07,1518073895,1518110842
1518075386,6.412062000000001,0,5,0.29,0,0.006435887,2018,01,08,07,36,26,39,07,1518073895,1518110842
1518075387,6.426953,0,5,0.29,0,0.006442314,2018,01,08,07,36,27,39,07,1518073895,1518110842
1518075388,6.467233,0,5,0.29,0,0.006448782,2018,01,08,07,36,28,39,07,1518073895,1518110842
1518075389,6.431845,0,5,0.3,0,0.006455213,2018,01,08,07,36,29,39,07,1518073895,1518110842
1518075390,6.429419,0,5,0.3,0,0.006461643,2018,01,08,07,36,30,39,07,1518073895,1518110842
1518075391,6.493789,0,5,0.3,0,0.006468136,2018,01,08,07,36,31,39,07,1518073895,1518110842
1518075392,6.466585,0,5,0.29,0,0.006474603,2018,01,08,07,36,32,39,07,1518073895,1518110842
1518075393,6.418918,0,5,0.3,0,0.006481022,2018,01,08,07,36,33,39,07,1518073895,1518110842
1518075394,6.380914,0,5,0.3,0,0.006487403,2018,01,08,07,36,34,39,07,1518073895,1518110842
1518075395,6.345573,0,5,0.3,0,0.006493748000000001,2018,01,08,07,36,35,39,07,1518073895,1518110842
1518075396,6.371387,0,5,0.29,0,0.00650012,2018,01,08,07,36,36,39,07,1518073895,1518110842
1518075397,6.396279,0,5,0.3,0,0.006506516,2018,01,08,07,36,37,39,07,1518073895,1518110842
1518075398,6.395541000000001,0,5,0.3,0,0.006512912,2018,01,08,07,36,38,39,07,1518073895,1518110842
1518075399,6.438982,0,5,0.3,0,0.0065193510000000005,2018,01,08,07,36,39,39,07,1518073895,1518110842
1518075400,6.399222,0,5,0.3,0,0.00652575,2018,01,08,07,36,40,39,07,1518073895,1518110842
1518075401,6.4192480000000005,0,5,0.3,0,0.006532169,2018,01,08,07,36,41,39,07,1518073895,1518110842
1518075402,6.390516000000001,0,5,0.3,0,0.00653856,2018,01,08,07,36,42,39,07,1518073895,1518110842
1518075406,6.422551,0,5,0.3,0,0.006557797,2018,01,08,07,36,46,39,07,1518073895,1518110842
1518075407,6.395632,0,5,0.3,0,0.006564192,2018,01,08,07,36,47,39,07,1518073895,1518110842
1518075408,6.417095,0,5,0.3,0,0.006570609,2018,01,08,07,36,48,39,07,1518073895,1518110842
1518075409,6.426838,0,5,0.3,0,0.006577036999999999,2018,01,08,07,36,49,39,07,1518073895,1518110842
1518075411,6.463775,0,5,0.29,0,0.006589927000000001,2018,01,08,07,36,51,39,07,1518073895,1518110842
1518075410,6.426414,0,5,0.3,0,0.006583463,2018,01,08,07,36,50,39,07,1518073895,1518110842
1518075413,6.359214,0,5,0.3,0,0.0066026850000000005,2018,01,08,07,36,53,39,07,1518073895,1518110842
1518075412,6.3984239999999994,0,5,0.3,0,0.006596326,2018,01,08,07,36,52,39,07,1518073895,1518110842
1518075415,6.367337,0,5,0.3,0,0.006615423,2018,01,08,07,36,55,39,07,1518073895,1518110842
1518075414,6.370168,0,5,0.3,0,0.006609055,2018,01,08,07,36,54,39,07,1518073895,1518110842
1518075416,6.409521,0,5,0.3,0,0.006621832000000001,2018,01,08,07,36,56,39,07,1518073895,1518110842
1518075417,6.431698,0,5,0.3,0,0.006628264,2018,01,08,07,36,57,39,07,1518073895,1518110842
1518075418,6.393431,0,5,0.3,0,0.006641055,2018,01,08,07,36,58,39,07,1518073895,1518110842
1518075419,6.3812940000000005,0,5,0.31,0,0.006647437,2018,01,08,07,36,59,39,07,1518073895,1518110842
1518075420,6.4053580000000006,0,5,0.3,0,0.006653842,2018,01,08,07,37,00,39,07,1518073895,1518110842
1518075421,6.419796,0,5,0.3,0,0.006660261999999999,2018,01,08,07,37,01,39,07,1518073895,1518110842
1518075422,6.4754760000000005,0,5,0.3,0,0.006666738,2018,01,08,07,37,02,39,07,1518073895,1518110842
1518075423,6.465001,0,5,0.3,0,0.0066732020000000005,2018,01,08,07,37,03,39,07,1518073895,1518110842
1518075424,6.427371,0,5,0.3,0,0.006679630000000001,2018,01,08,07,37,04,39,07,1518073895,1518110842
1518075425,6.4643489999999995,0,5,0.3,0,0.006686094,2018,01,08,07,37,05,39,07,1518073895,1518110842
1518075426,6.436383,0,5,0.3,0,0.00669253,2018,01,08,07,37,06,39,07,1518073895,1518110842
1518075427,6.388259,0,5,0.3,0,0.006698919,2018,01,08,07,37,07,39,07,1518073895,1518110842
1518075428,6.409536,0,5,0.3,0,0.006705328,2018,01,08,07,37,08,39,07,1518073895,1518110842
1518075429,6.4254370000000005,0,5,0.3,0,0.0067117539999999995,2018,01,08,07,37,09,39,07,1518073895,1518110842
1518075430,6.447516,0,5,0.3,0,0.006718200999999999,2018,01,08,07,37,10,39,07,1518073895,1518110842
1518075431,6.42315,0,5,0.3,0,0.006724624,2018,01,08,07,37,11,39,07,1518073895,1518110842
1518075432,6.46495,0,5,0.3,0,0.006731089,2018,01,08,07,37,12,39,07,1518073895,1518110842
1518075433,6.427341,0,5,0.3,0,0.006737516000000001,2018,01,08,07,37,13,39,07,1518073895,1518110842
1518075434,6.458062,0,5,0.3,0,0.006743975,2018,01,08,07,37,14,39,07,1518073895,1518110842
1518075435,6.423208,0,5,0.31,0,0.0067503979999999995,2018,01,08,07,37,15,39,07,1518073895,1518110842
1518075436,6.408563,0,5,0.31,0,0.006756807000000001,2018,01,08,07,37,16,39,07,1518073895,1518110842
1518075437,6.456199,0,5,0.3,0,0.006763263,2018,01,08,07,37,17,39,07,1518073895,1518110842
1518075438,6.403283,0,5,0.31,0,0.006769666000000001,2018,01,08,07,37,18,39,07,1518073895,1518110842
1518075439,6.399744999999999,0,5,0.3,0,0.006776066000000001,2018,01,08,07,37,19,39,07,1518073895,1518110842
1518075440,6.39762,0,5,0.3,0,0.006782464,2018,01,08,07,37,20,39,07,1518073895,1518110842
1518075441,6.396346,0,5,0.3,0,0.006788860000000001,2018,01,08,07,37,21,39,07,1518073895,1518110842
1518075442,6.342294,0,5,0.3,0,0.006795202,2018,01,08,07,37,22,39,07,1518073895,1518110842
1518075443,6.378824,0,5,0.31,0,0.006801581,2018,01,08,07,37,23,39,07,1518073895,1518110842
1518075444,6.422683,0,5,0.3,0,0.0068080039999999994,2018,01,08,07,37,24,39,07,1518073895,1518110842
1518075445,6.423922,0,5,0.31,0,0.0068144270000000005,2018,01,08,07,37,25,39,07,1518073895,1518110842
1518075446,6.462279,0,5,0.3,0,0.00682089,2018,01,08,07,37,26,39,07,1518073895,1518110842
1518075447,6.410065,0,5,0.31,0,0.006827300999999999,2018,01,08,07,37,27,39,07,1518073895,1518110842
1518075448,6.416351000000001,0,5,0.3,0,0.006833716,2018,01,08,07,37,28,39,07,1518073895,1518110842
1518075449,6.435795,0,5,0.3,0,0.006840152,2018,01,08,07,37,29,39,07,1518073895,1518110842
1518075450,6.438058,0,5,0.3,0,0.006846591,2018,01,08,07,37,30,39,07,1518073895,1518110842
1518075451,6.492704,0,5,0.3,0,0.006853084,2018,01,08,07,37,31,39,07,1518073895,1518110842
1518075452,6.478472,0,5,0.3,0,0.006859562,2018,01,08,07,37,32,39,07,1518073895,1518110842
1518075453,6.466799,0,5,0.3,0,0.006866028999999999,2018,01,08,07,37,33,39,07,1518073895,1518110842
1518075454,6.46293,0,5,0.3,0,0.0068724910000000005,2018,01,08,07,37,34,39,07,1518073895,1518110842
1518075455,6.5107610000000005,0,5,0.3,0,0.006879002,2018,01,08,07,37,35,39,07,1518073895,1518110842
1518075456,6.483037,0,5,0.3,0,0.006885485,2018,01,08,07,37,36,39,07,1518073895,1518110842
1518075457,6.497749,0,5,0.3,0,0.006891983,2018,01,08,07,37,37,39,07,1518073895,1518110842
1518075458,6.437616,0,5,0.3,0,0.006898421000000001,2018,01,08,07,37,38,39,07,1518073895,1518110842
1518075459,6.470496,0,5,0.3,0,0.006904891000000001,2018,01,08,07,37,39,39,07,1518073895,1518110842
1518075460,6.477686,0,5,0.3,0,0.0069113690000000005,2018,01,08,07,37,40,39,07,1518073895,1518110842
1518075461,6.481999,0,5,0.3,0,0.006917850999999999,2018,01,08,07,37,41,39,07,1518073895,1518110842
1518075462,6.5065290000000005,0,5,0.3,0,0.006924358,2018,01,08,07,37,42,39,07,1518073895,1518110842
1518075463,6.524382,0,5,0.3,0,0.006930882000000001,2018,01,08,07,37,43,39,07,1518073895,1518110842
1518075464,6.510018,0,5,0.31,0,0.006937392,2018,01,08,07,37,44,39,07,1518073895,1518110842
1518075465,6.520207,0,5,0.3,0,0.006943913,2018,01,08,07,37,45,39,07,1518073895,1518110842
1518075466,6.491839,0,5,0.3,0,0.0069504039999999994,2018,01,08,07,37,46,39,07,1518073895,1518110842
1518075467,6.481089,0,5,0.29,0,0.006956885,2018,01,08,07,37,47,39,07,1518073895,1518110842
1518075468,6.499714,0,5,0.3,0,0.006963385000000001,2018,01,08,07,37,48,39,07,1518073895,1518110842
1518075469,6.532831,0,5,0.3,0,0.006969917,2018,01,08,07,37,49,39,07,1518073895,1518110842
1518075470,6.549567,0,5,0.3,0,0.006976467,2018,01,08,07,37,50,39,07,1518073895,1518110842
1518075471,6.553339,0,5,0.3,0,0.0069830199999999995,2018,01,08,07,37,51,39,07,1518073895,1518110842
1518075472,6.602621000000001,0,5,0.3,0,0.0069896229999999995,2018,01,08,07,37,52,39,07,1518073895,1518110842
1518075473,6.585171000000001,0,5,0.29,0,0.006996209,2018,01,08,07,37,53,39,07,1518073895,1518110842
1518075474,6.527684,0,5,0.3,0,0.007002736,2018,01,08,07,37,54,39,07,1518073895,1518110842
1518075475,6.530805,0,5,0.3,0,0.007009267,2018,01,08,07,37,55,39,07,1518073895,1518110842
1518075476,6.498198,0,5,0.3,0,0.007015764999999999,2018,01,08,07,37,56,39,07,1518073895,1518110842
1518075477,6.566402,0,5,0.29,0,0.007022331,2018,01,08,07,37,57,39,07,1518073895,1518110842
1518075478,6.601055000000001,0,5,0.3,0,0.007028933,2018,01,08,07,37,58,39,07,1518073895,1518110842
1518075479,6.628116,0,5,0.3,0,0.007035561,2018,01,08,07,37,59,39,07,1518073895,1518110842
1518075480,6.6255440000000005,0,5,0.29,0,0.007042186999999999,2018,01,08,07,38,00,39,07,1518073895,1518110842
1518075481,6.630269999999999,0,5,0.3,0,0.007048816,2018,01,08,07,38,01,39,07,1518073895,1518110842
1518075482,6.595492999999999,0,5,0.3,0,0.007055412,2018,01,08,07,38,02,39,07,1518073895,1518110842
1518075483,6.634181,0,5,0.29,0,0.007062046000000001,2018,01,08,07,38,03,39,07,1518073895,1518110842
1518075484,6.669934,0,5,0.3,0,0.007068716,2018,01,08,07,38,04,39,07,1518073895,1518110842
1518075485,6.6192899999999995,0,5,0.3,0,0.007075336,2018,01,08,07,38,05,39,07,1518073895,1518110842
1518075486,6.639057000000001,0,5,0.31,0,0.007081975,2018,01,08,07,38,06,39,07,1518073895,1518110842
1518075487,6.675992,0,5,0.3,0,0.007088651,2018,01,08,07,38,07,39,07,1518073895,1518110842
1518075488,6.6856160000000004,0,5,0.3,0,0.007095336999999999,2018,01,08,07,38,08,39,07,1518073895,1518110842
1518075489,6.6631800000000005,0,5,0.31,0,0.007101999,2018,01,08,07,38,09,39,07,1518073895,1518110842
