T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1518078270,21.494432999999997,0,5,0.34,0,0.044451215999999995,2018,01,08,08,24,30,39,08,1518073895,1518110842
1518078271,21.541358,0,5,0.34,0,0.044472753000000004,2018,01,08,08,24,31,39,08,1518073895,1518110842
1518078272,21.519084,0,5,0.34,0,0.044494271999999994,2018,01,08,08,24,32,39,08,1518073895,1518110842
1518078273,21.548189,0,5,0.34,0,0.044515819,2018,01,08,08,24,33,39,08,1518073895,1518110842
1518078274,21.586880999999998,0,5,0.34,0,0.044537406,2018,01,08,08,24,34,39,08,1518073895,1518110842
1518078275,21.594173,0,5,0.34,0,0.044559003,2018,01,08,08,24,35,39,08,1518073895,1518110842
1518078276,21.558739000000003,0,5,0.34,0,0.044580559000000006,2018,01,08,08,24,36,39,08,1518073895,1518110842
1518078277,21.57198,0,5,0.34,0,0.044602134,2018,01,08,08,24,37,39,08,1518073895,1518110842
1518078278,21.61443,0,5,0.34,0,0.044623747,2018,01,08,08,24,38,39,08,1518073895,1518110842
1518078279,21.623972,0,5,0.33,0,0.044645371999999996,2018,01,08,08,24,39,39,08,1518073895,1518110842
1518078280,21.627045000000003,0,5,0.33,0,0.044666997,2018,01,08,08,24,40,39,08,1518073895,1518110842
1518078281,21.666048,0,5,0.34,0,0.044688665999999995,2018,01,08,08,24,41,39,08,1518073895,1518110842
1518078282,21.644327,0,5,0.34,0,0.044710309000000004,2018,01,08,08,24,42,39,08,1518073895,1518110842
1518078283,21.660492,0,5,0.34,0,0.044731966,2018,01,08,08,24,43,39,08,1518073895,1518110842
1518078284,21.678151999999997,0,5,0.34,0,0.044753644,2018,01,08,08,24,44,39,08,1518073895,1518110842
1518078285,21.67548,0,5,0.34,0,0.044775319,2018,01,08,08,24,45,39,08,1518073895,1518110842
1518078286,21.673876999999997,0,5,0.34,0,0.044796990999999994,2018,01,08,08,24,46,39,08,1518073895,1518110842
1518078287,21.691492,0,5,0.34,0,0.044818684000000004,2018,01,08,08,24,47,39,08,1518073895,1518110842
1518078288,21.720638,0,5,0.34,0,0.044840406,2018,01,08,08,24,48,39,08,1518073895,1518110842
1518078289,21.7514,0,5,0.34,0,0.044862159000000006,2018,01,08,08,24,49,39,08,1518073895,1518110842
1518078290,21.727384,0,5,0.34,0,0.044883884000000006,2018,01,08,08,24,50,39,08,1518073895,1518110842
